"source","target","sectionlength"
"UKN3181","UKN1835","5.773"
"UKN3004","UKN2609","3.015"
"UKN2609","UKN2030","1.073"
"UKN1835","UKN5294","0.174"
"UKN1835","UKN2800","4.937"
"UKN7996","UKN7995","0.672"
"UKN2800","UKN1577","4.604"
"UKN1577","UKN7996","0.823"
"UKN4786","UKN5064","1.095"
"UKN4488","UKN4786","0.555"
"UKN5059","UKN4488","6.48"
"UKN5060","UKN5059","0.412"
"UKN7956","UKN2963","0.439"
"UKN8580","UKN8589","0.346"
"UKN8589","UKN2239","1.768"
"UKN4404","UKN3177","0.273"
"UKN4405","UKN4406","0.454"
"UKN2833","UKN5378","0.128"
"UKN2833","UKN5380","0.231"
"UKN3177","UKN2833","3.329"
"UKN4406","UKN2978","0.301"
"UKN4553","UKN4404","0.222"
"UKN5380","UKN4552","0.529"
"UKN2239","UKN4553","2.668"
"UKN4552","UKN4405","1.526"
"UKN8330","UKN8283","0.81"
"UKN8225","UKN8099","0.27"
"UKN5244","UKN4346","0.092"
"UKN8190","UKN5244","2.65"
"UKN4346","UKN4796","0.793"
"UKN7406","UKN7576","0.348"
"UKN7693","UKN3074","0.489"
"UKN3074","UKN4666","0.57"
"UKN3074","UKN1155","0.353"
"UKN5107","UKN7693","0.671"
"UKN1040","UKN1720","0.528"
"UKN1720","UKN7691","0.555"
"UKN1155","UKN1040","1.86"
"UKN3468","UKN7903","4.905"
"UKN1791","UKN3468","2.531"
"UKN1472","UKN1791","5.039"
"UKN8128","UKN1472","6.675"
"UKN8299","UKN5288","2.048"
"UKN2113","UKN4735","0.418"
"UKN7108","UKN4737","0.83"
"UKN2456","UKN2352","17.56"
"UKN4734","UKN7336","4.204"
"UKN1519","UKN1589","11.599"
"UKN1589","UKN2456","12.112"
"UKN1589","UKN5139","0.404"
"UKN4737","UKN1519","19.159"
"UKN4733","UKN2113","0.583"
"UKN4156","UKN4733","0.251"
"UKN4735","UKN7334","1.464"
"UKN2352","UKN4736","0.734"
"UKN3011","UKN7108","0.339"
"UKN4736","UKN4734","12.593"
"UKN7336","UKN4156","1.945"
"UKN7435","UKN4147","1.011"
"UKN8282","UKN8327","0.904"
"UKN7628","UKN4491","0.23"
"UKN2349","UKN1431","3.027"
"UKN1431","UKN3092","1.887"
"UKN3087","UKN2348","1.046"
"UKN2348","UKN2349","0.701"
"UKN4275","UKN4683","1.835"
"UKN8531","UKN4275","5.464"
"UKN5309","UKN5360","0.936"
"UKN7185","UKN3367","14.79"
"UKN4227","UKN1053","0.679"
"UKN7899","UKN3188","0.433"
"UKN3188","UKN8134","0.491"
"UKN8134","UKN8285","0.72"
"UKN7631","UKN4113","1.408"
"UKN2291","UKN5126","0.339"
"UKN4113","UKN2291","0.163"
"UKN5126","UKN4473","0.343"
"UKN4473","UKN2936","0.544"
"UKN2689","UKN2471","2.607"
"UKN1030","UKN2689","1.695"
"UKN2384","UKN2696","0.623"
"UKN1115","UKN2694","1.947"
"UKN2696","UKN1030","1.241"
"UKN7631","UKN2384","0.434"
"UKN2471","UKN3261","4.344"
"UKN3261","UKN1115","1.421"
"UKN3141","UKN3142","1.089"
"UKN8341","UKN8340","1.395"
"UKN7919","UKN2564","0.956"
"UKN2274","UKN5025","0.721"
"UKN7599","UKN7096","0.624"
"UKN7338","UKN2274","0.72"
"UKN7096","UKN7338","7.32"
"UKN7175","UKN3022","3.042"
"UKN7175","UKN4237","11.4"
"UKN1924","UKN1526","9.157"
"UKN4130","UKN1906","5.125"
"UKN1526","UKN1209","6.844"
"UKN1906","UKN2104","9.983"
"UKN2438","UKN7177","3.267"
"UKN7177","UKN1924","2.867"
"UKN1209","UKN3367","5.265"
"UKN2104","UKN5208","0.064"
"UKN2104","UKN2438","2.112"
"UKN8355","UKN3152","0.485"
"UKN7620","UKN7698","0.67"
"UKN7899","UKN3188","0.433"
"UKN3188","UKN8140","2.899"
"UKN1286","UKN8140","0.824"
"UKN3237","UKN1954","1.325"
"UKN7946","UKN5233","2.43"
"UKN1954","UKN1286","1.671"
"UKN8346","UKN2788","3.15"
"UKN5233","UKN8346","1.479"
"UKN2564","UKN3237","5.643"
"UKN2788","UKN2564","11.143"
"UKN8235","UKN7946","2.933"
"UKN3254","UKN2084","2.051"
"UKN2084","UKN3447","1.08"
"UKN3152","UKN3254","1.623"
"UKN3048","UKN2567","0.984"
"UKN8023","UKN3446","0.929"
"UKN3447","UKN8023","0.643"
"UKN2567","UKN3091","0.767"
"UKN3091","UKN3174","1.574"
"UKN3387","UKN8014","1.477"
"UKN3446","UKN3048","0.925"
"UKN3174","UKN3387","1.208"
"UKN7362","UKN7363","0.525"
"UKN7132","UKN4048","0.986"
"UKN4565","UKN7362","10.512"
"UKN4048","UKN4565","2.173"
"UKN8355","UKN3152","0.454"
"UKN3025","UKN7859","3.338"
"UKN8533","UKN8530","1.311"
"UKN8533","UKN4681","1.898"
"UKN4681","UKN4206","0.262"
"UKN7975","UKN4605","2.404"
"UKN4645","UKN1191","1.516"
"UKN1793","UKN2839","4.459"
"UKN4186","UKN4185","0.503"
"UKN2108","UKN4381","0.597"
"UKN4360","UKN3078","5.688"
"UKN3378","UKN1601","2.266"
"UKN4381","UKN2541","3.231"
"UKN2458","UKN5214","0.461"
"UKN2458","UKN2336","3.968"
"UKN1873","UKN4186","11.288"
"UKN3078","UKN2054","7.529"
"UKN4185","UKN4645","2.193"
"UKN2336","UKN2050","7.431"
"UKN2050","UKN1873","4.702"
"UKN2054","UKN2457","7.519"
"UKN1191","UKN5340","0.343"
"UKN2541","UKN1793","4.979"
"UKN8444","UKN3378","2.804"
"UKN2457","UKN2458","1.611"
"UKN1601","UKN5448","0.931"
"UKN1601","UKN2108","2.86"
"UKN2839","UKN4360","1.814"
"UKN1191","UKN8082","14.115"
"UKN7818","UKN3357","4.772"
"UKN8082","UKN7818","5.214"
"UKN2252","UKN8085","3.155"
"UKN5261","UKN4682","8.744"
"UKN3357","UKN5261","1.896"
"UKN8085","UKN2497","14.346"
"UKN2497","UKN8219","20.231"
"UKN4682","UKN2252","0.715"
"UKN8219","UKN8093","0.755"
"UKN8093","UKN5219","2.825"
"UKN5219","UKN8095","1.667"
"UKN8095","UKN2344","0.52"
"UKN2344","UKN5240","0.155"
"UKN2344","UKN4471","1.415"
"UKN7842","UKN2452","0.524"
"UKN3192","UKN8100","0.2"
"UKN3013","UKN4689","1.703"
"UKN2452","UKN4511","0.438"
"UKN1758","UKN5223","0.704"
"UKN1163","UKN7842","4.253"
"UKN4472","UKN4060","0.168"
"UKN8225","UKN3013","3.789"
"UKN8100","UKN8225","0.516"
"UKN4046","UKN3192","5.563"
"UKN4471","UKN4046","0.646"
"UKN4060","UKN1163","0.553"
"UKN4689","UKN4472","0.822"
"UKN4511","UKN1758","10.334"
"UKN8319","UKN2437","0.943"
"UKN3071","UKN5343","0.398"
"UKN3071","UKN8322","0.716"
"UKN8279","UKN8319","0.82"
"UKN5223","UKN8279","0.799"
"UKN2437","UKN3071","8.942"
"UKN8322","UKN1671","3.207"
"UKN4802","UKN1203","1.166"
"UKN4313","UKN7860","1.44"
"UKN1203","UKN4313","1.593"
"UKN7860","UKN8228","16.619"
"UKN1718","UKN4802","2.9"
"UKN1671","UKN5366","0.657"
"UKN1671","UKN1718","8.622"
"UKN8228","UKN1500","6.495"
"UKN1500","UKN8323","0.933"
"UKN1500","UKN4781","0.154"
"UKN4782","UKN7855","28.315"
"UKN8106","UKN3068","0.376"
"UKN3068","UKN4782","0.392"
"UKN2916","UKN2532","11.587"
"UKN2532","UKN4305","0.161"
"UKN4305","UKN7874","13.175"
"UKN7859","UKN2916","3.603"
"UKN7855","UKN7859","2.294"
"UKN2366","UKN7875","1.483"
"UKN2366","UKN4678","0.568"
"UKN7875","UKN8119","1.247"
"UKN7874","UKN2366","1.851"
"UKN1902","UKN7888","0.911"
"UKN1902","UKN4679","0.157"
"UKN2949","UKN1902","15.231"
"UKN8119","UKN2949","7.186"
"UKN4320","UKN8335","20.222"
"UKN7889","UKN4320","7.144"
"UKN8336","UKN8333","0.459"
"UKN8334","UKN5360","1.681"
"UKN8333","UKN8334","0.047"
"UKN8335","UKN8336","0.565"
"UKN7948","UKN7947","0.507"
"UKN7566","UKN4728","0.332"
"UKN3154","UKN3152","0.556"
"UKN7855","UKN7856","0.863"
"UKN8319","UKN4040","5.979"
"UKN4151","UKN8107","5.293"
"UKN4040","UKN4151","0.95"
"UKN7845","UKN7846","6.852"
"UKN4677","UKN4676","7.543"
"UKN4813","UKN4677","11.386"
"UKN2970","UKN3051","0.269"
"UKN7345","UKN7496","0.686"
"UKN7496","UKN7494","3.242"
"UKN7494","UKN4383","0.53"
"UKN3430","UKN8503","0.411"
"UKN2854","UKN2147","4.88"
"UKN1237","UKN3430","7.4"
"UKN2822","UKN3063","0.906"
"UKN2822","UKN5451","0.589"
"UKN2981","UKN1237","6.534"
"UKN3060","UKN2822","2.137"
"UKN8503","UKN2854","6.304"
"UKN2147","UKN2890","4.1"
"UKN2890","UKN3060","1.378"
"UKN4960","UKN5276","1.179"
"UKN5276","UKN4851","2.526"
"UKN4851","UKN4850","0.569"
"UKN8513","UKN1548","0.926"
"UKN8514","UKN8513","0.239"
"UKN2155","UKN4877","1.142"
"UKN8347","UKN8185","0.518"
"UKN8185","UKN4376","16.933"
"UKN7198","UKN4262","0.199"
"UKN4262","UKN4126","0.237"
"UKN1710","UKN7095","6.528"
"UKN7205","UKN2516","9.516"
"UKN1124","UKN7205","4.958"
"UKN2516","UKN4310","19.427"
"UKN4310","UKN1931","0.369"
"UKN1931","UKN1160","19.68"
"UKN4027","UKN7193","15.973"
"UKN1160","UKN4027","13.546"
"UKN7193","UKN7198","10.274"
"UKN3145","UKN4941","0.115"
"UKN7198","UKN3145","1.468"
"UKN4517","UKN4496","0.592"
"UKN8474","UKN1256","2.166"
"UKN8574","UKN3059","3.753"
"UKN1256","UKN2956","1.345"
"UKN3059","UKN4517","3.608"
"UKN4496","UKN8474","0.998"
"UKN7373","UKN2092","0.546"
"UKN1751","UKN1383","1.446"
"UKN7617","UKN3161","3.208"
"UKN1383","UKN2514","1.369"
"UKN4229","UKN7617","0.46"
"UKN1918","UKN1751","1.967"
"UKN7698","UKN7373","0.762"
"UKN3161","UKN7698","1.102"
"UKN2092","UKN1918","2.613"
"UKN2514","UKN7386","2.323"
"UKN5148","UKN1368","0.977"
"UKN7717","UKN7228","8.285"
"UKN1776","UKN7231","0.874"
"UKN7228","UKN1368","0.84"
"UKN7231","UKN7717","1.0"
"UKN1379","UKN3164","7.821"
"UKN1474","UKN1379","5.341"
"UKN2500","UKN1474","5.604"
"UKN4443","UKN7279","0.339"
"UKN7279","UKN5152","0.3"
"UKN5062","UKN4443","0.365"
"UKN5156","UKN3180","0.554"
"UKN4919","UKN5169","0.407"
"UKN5169","UKN5156","1.095"
"UKN7311","UKN5043","34.332"
"UKN4540","UKN4422","1.606"
"UKN7308","UKN4120","6.806"
"UKN4120","UKN4348","0.308"
"UKN5043","UKN7308","4.321"
"UKN4348","UKN1337","0.264"
"UKN1337","UKN5042","0.405"
"UKN1337","UKN4540","0.14"
"UKN3494","UKN3171","1.765"
"UKN4189","UKN3494","2.972"
"UKN1653","UKN3454","2.835"
"UKN3171","UKN1653","1.938"
"UKN3105","UKN4189","0.959"
"UKN7324","UKN5156","1.102"
"UKN3139","UKN7072","3.121"
"UKN2235","UKN3159","17.822"
"UKN3159","UKN3139","4.531"
"UKN3185","UKN2235","21.981"
"UKN2831","UKN7479","3.727"
"UKN7479","UKN4028","2.447"
"UKN1538","UKN1528","10.612"
"UKN2407","UKN2738","4.512"
"UKN7049","UKN1434","3.408"
"UKN4028","UKN7318","0.586"
"UKN7302","UKN2792","15.802"
"UKN4611","UKN4610","9.144"
"UKN4610","UKN4634","3.306"
"UKN2602","UKN3021","3.357"
"UKN7324","UKN1967","7.044"
"UKN7318","UKN4608","2.683"
"UKN2651","UKN7302","0.572"
"UKN2792","UKN2407","3.92"
"UKN5200","UKN4607","9.216"
"UKN1434","UKN2651","1.522"
"UKN1434","UKN5168","0.371"
"UKN2260","UKN1856","6.817"
"UKN4919","UKN7324","0.583"
"UKN2400","UKN2732","6.371"
"UKN2799","UKN1126","3.156"
"UKN4580","UKN2638","0.858"
"UKN7487","UKN5200","0.995"
"UKN4609","UKN2400","0.779"
"UKN1341","UKN4613","0.253"
"UKN1341","UKN7545","0.447"
"UKN1412","UKN7320","1.571"
"UKN2638","UKN7487","1.203"
"UKN4608","UKN2799","0.597"
"UKN1528","UKN7082","0.352"
"UKN2738","UKN1327","6.224"
"UKN7082","UKN2079","8.043"
"UKN2460","UKN1491","12.831"
"UKN2732","UKN2260","8.334"
"UKN7320","UKN4611","0.509"
"UKN3419","UKN1538","8.513"
"UKN3419","UKN5205","0.244"
"UKN1126","UKN1341","2.823"
"UKN7545","UKN2602","2.461"
"UKN7492","UKN2460","0.326"
"UKN4038","UKN7080","0.215"
"UKN2079","UKN4612","0.087"
"UKN2079","UKN2226","7.708"
"UKN7055","UKN4580","0.281"
"UKN1948","UKN5160","0.238"
"UKN1948","UKN5185","0.837"
"UKN1948","UKN4108","30.431"
"UKN2411","UKN4919","4.363"
"UKN4607","UKN7049","4.021"
"UKN7333","UKN4038","0.215"
"UKN1967","UKN5170","6.471"
"UKN3021","UKN2411","2.823"
"UKN1327","UKN2831","9.469"
"UKN1856","UKN7333","10.466"
"UKN1491","UKN1412","10.615"
"UKN5170","UKN4609","1.919"
"UKN7080","UKN3419","21.897"
"UKN4108","UKN7492","0.455"
"UKN4634","UKN4635","0.752"
"UKN4054","UKN7055","0.446"
"UKN4635","UKN4054","0.228"
"UKN4454","UKN2999","0.838"
"UKN7289","UKN7538","0.664"
"UKN4112","UKN7289","0.293"
"UKN7039","UKN4112","21.202"
"UKN7538","UKN3390","0.766"
"UKN2598","UKN3495","7.117"
"UKN1596","UKN2598","6.841"
"UKN3516","UKN4724","10.932"
"UKN3495","UKN3412","7.968"
"UKN3412","UKN2811","7.886"
"UKN3362","UKN3516","5.624"
"UKN4724","UKN3011","0.696"
"UKN2811","UKN3362","5.201"
"UKN1542","UKN7447","1.976"
"UKN8457","UKN4717","0.287"
"UKN4717","UKN3300","0.507"
"UKN8212","UKN2056","0.837"
"UKN3300","UKN1613","1.288"
"UKN1613","UKN8212","0.595"
"UKN2056","UKN3051","1.928"
"UKN3051","UKN1262","2.209"
"UKN2360","UKN3331","1.926"
"UKN3324","UKN2359","1.817"
"UKN3331","UKN3472","1.203"
"UKN1262","UKN3324","1.39"
"UKN2359","UKN2360","1.168"
"UKN3472","UKN4906","1.446"
"UKN4906","UKN1146","1.092"
"UKN1581","UKN3477","1.479"
"UKN1581","UKN5376","0.405"
"UKN3477","UKN1509","1.616"
"UKN1509","UKN2280","3.876"
"UKN4504","UKN3204","0.337"
"UKN2827","UKN2869","0.837"
"UKN2280","UKN3194","2.085"
"UKN3194","UKN4504","1.614"
"UKN2869","UKN1581","1.266"
"UKN4303","UKN4222","0.392"
"UKN7062","UKN4303","10.61"
"UKN1239","UKN2824","8.216"
"UKN2168","UKN5248","0.142"
"UKN2168","UKN1516","3.78"
"UKN2168","UKN5296","0.295"
"UKN1056","UKN1087","5.694"
"UKN2378","UKN2168","1.771"
"UKN2824","UKN1056","7.725"
"UKN2201","UKN1845","4.044"
"UKN1087","UKN8201","2.641"
"UKN1845","UKN2378","3.688"
"UKN1590","UKN2201","1.968"
"UKN1516","UKN1239","7.69"
"UKN3234","UKN1590","2.119"
"UKN1294","UKN2680","2.647"
"UKN4198","UKN1503","3.098"
"UKN8201","UKN8202","0.53"
"UKN3057","UKN1798","2.215"
"UKN1154","UKN4198","6.91"
"UKN1154","UKN4637","0.307"
"UKN3332","UKN8424","0.678"
"UKN4335","UKN1154","0.287"
"UKN1503","UKN4638","0.729"
"UKN1503","UKN1863","2.454"
"UKN1863","UKN1294","2.234"
"UKN8202","UKN1878","0.526"
"UKN1798","UKN3332","2.033"
"UKN1878","UKN4335","4.124"
"UKN2680","UKN3057","1.681"
"UKN4165","UKN8116","4.008"
"UKN2320","UKN1042","10.019"
"UKN8320","UKN8280","0.278"
"UKN1042","UKN8228","9.69"
"UKN8116","UKN2320","7.752"
"UKN8297","UKN4533","6.073"
"UKN4533","UKN2963","1.653"
"UKN8515","UKN8511","0.686"
"UKN8320","UKN8319","0.601"
"UKN4037","UKN5291","0.174"
"UKN5292","UKN4037","0.012"
"UKN7979","UKN5292","0.225"
"UKN5291","UKN4902","0.487"
"UKN4201","UKN4059","0.523"
"UKN4059","UKN8075","4.128"
"UKN8279","UKN8318","2.203"
"UKN3507","UKN4078","9.665"
"UKN3266","UKN4631","0.08"
"UKN3265","UKN2801","2.022"
"UKN3518","UKN3249","1.43"
"UKN2416","UKN3518","1.596"
"UKN3267","UKN3513","1.365"
"UKN3253","UKN2416","1.627"
"UKN2801","UKN1677","2.158"
"UKN1677","UKN3253","0.89"
"UKN3249","UKN3267","1.74"
"UKN3513","UKN3266","1.224"
"UKN2794","UKN3265","3.016"
"UKN4867","UKN4364","0.665"
"UKN7885","UKN5354","2.327"
"UKN1711","UKN8326","3.825"
"UKN7882","UKN2979","6.131"
"UKN8326","UKN7882","1.252"
"UKN2979","UKN7885","0.813"
"UKN2979","UKN4886","0.094"
"UKN8323","UKN1711","7.653"
"UKN5354","UKN8128","2.037"
"UKN7891","UKN7892","0.568"
"UKN8128","UKN2518","0.353"
"UKN2518","UKN7891","2.656"
"UKN7892","UKN7895","0.548"
"UKN4089","UKN4129","6.033"
"UKN3120","UKN1560","5.07"
"UKN4088","UKN7899","2.517"
"UKN3022","UKN4415","0.547"
"UKN4620","UKN4890","0.464"
"UKN4890","UKN7959","1.093"
"UKN8130","UKN5308","0.405"
"UKN5308","UKN4088","0.389"
"UKN3522","UKN2996","4.927"
"UKN3475","UKN5312","5.296"
"UKN1560","UKN3022","4.885"
"UKN8158","UKN4622","0.631"
"UKN2656","UKN8158","1.128"
"UKN8172","UKN3522","1.332"
"UKN4415","UKN4130","0.327"
"UKN4234","UKN4620","0.268"
"UKN7899","UKN3188","0.362"
"UKN7941","UKN3475","4.098"
"UKN1609","UKN2231","3.998"
"UKN4869","UKN2656","0.873"
"UKN4622","UKN7941","1.826"
"UKN3520","UKN8172","4.371"
"UKN7895","UKN8130","3.793"
"UKN1241","UKN1609","1.22"
"UKN4621","UKN3120","4.529"
"UKN5230","UKN4089","3.868"
"UKN2231","UKN4621","0.306"
"UKN2996","UKN2927","1.21"
"UKN2927","UKN1241","3.483"
"UKN5312","UKN4234","3.048"
"UKN7959","UKN3520","4.816"
"UKN7920","UKN3224","2.119"
"UKN8161","UKN2931","5.73"
"UKN1958","UKN5365","0.7"
"UKN1958","UKN5004","0.274"
"UKN4576","UKN3224","10.32"
"UKN2931","UKN1958","4.81"
"UKN5365","UKN4576","0.937"
"UKN4022","UKN8511","0.977"
"UKN8511","UKN3112","4.124"
"UKN8497","UKN1976","1.321"
"UKN1976","UKN4930","0.994"
"UKN5443","UKB1007","1.748"
"UKB1008","UKN1631","0.488"
"UKN8554","UKN4076","1.226"
"UKN4058","UKN4057","0.49"
"UKN4076","UKN5443","0.931"
"UKN2825","UKN4929","0.578"
"UKN8500","UKN3110","1.086"
"UKN1146","UKN8554","0.376"
"UKN3240","UKN4867","0.802"
"UKN4906","UKN1146","0.708"
"UKN4930","UKN3240","1.791"
"UKN2843","UKN2825","5.364"
"UKN4057","UKN8497","0.361"
"UKN1631","UKN2843","3.331"
"UKN1631","UKN5442","0.857"
"UKB1007","UKB1008","0.195"
"UKN3110","UKN2768","8.495"
"UKN4867","UKN1759","4.805"
"UKN1759","UKN8500","2.353"
"UKN4929","UKN4058","3.433"
"UKN8616","UKN8489","1.238"
"UKN8592","UKN8489","0.727"
"UKN8616","UKN8592","0.508"
"UKN8576","UKN4412","1.158"
"UKN7589","UKN1946","1.315"
"UKN3257","UKN3256","1.377"
"UKN7020","UKN7019","0.308"
"UKN2711","UKN5065","0.379"
"UKN7019","UKN3257","7.262"
"UKN5012","UKN2711","1.052"
"UKN3256","UKN5012","3.51"
"UKN3483","UKN7816","4.245"
"UKN3503","UKN1748","1.58"
"UKN3287","UKN3073","1.24"
"UKN2110","UKN3483","2.816"
"UKN3469","UKN1646","2.922"
"UKN3505","UKN3002","2.061"
"UKN1646","UKN2110","4.756"
"UKN3218","UKN3469","1.745"
"UKN2024","UKN3505","1.945"
"UKN3421","UKN3503","1.64"
"UKN3002","UKN3421","1.429"
"UKN3073","UKN2024","1.065"
"UKN1748","UKN3218","1.426"
"UKN3051","UKN8275","0.582"
"UKN8068","UKN8275","0.233"
"UKN8358","UKN3151","1.369"
"UKN3151","UKN5350","0.443"
"UKN3280","UKN8358","0.449"
"UKN4579","UKN8108","1.317"
"UKN1196","UKN5241","1.279"
"UKN1111","UKN1196","2.204"
"UKN8280","UKN4579","0.474"
"UKN8108","UKN1111","1.473"
"UKN8114","UKN8464","0.745"
"UKN5241","UKN8114","2.036"
"UKN8279","UKN8280","1.067"
"UKN2676","UKN8464","1.246"
"UKN1920","UKN3238","10.614"
"UKN3238","UKN5120","0.067"
"UKN2781","UKN7715","0.64"
"UKN3223","UKN4825","3.355"
"UKN1507","UKN7618","4.231"
"UKN7618","UKN7619","0.279"
"UKN1320","UKN1336","1.861"
"UKN2897","UKN1320","1.615"
"UKN7378","UKN2897","1.863"
"UKN7665","UKN1507","1.649"
"UKN2502","UKN7378","0.905"
"UKN1336","UKN7381","0.705"
"UKN2622","UKN3156","2.126"
"UKN7619","UKN2622","1.553"
"UKN3156","UKN2502","3.371"
"UKN2862","UKN2919","1.366"
"UKN2919","UKN1198","0.751"
"UKN1198","UKN1964","1.562"
"UKN7381","UKN2862","1.894"
"UKN4810","UKN7743","0.802"
"UKN4253","UKN4251","0.492"
"UKN4252","UKN5246","8.423"
"UKN7743","UKN4253","4.404"
"UKN4251","UKN4252","0.072"
"UKN3310","UKN3137","7.309"
"UKN1615","UKN3386","5.178"
"UKN1176","UKN1615","3.27"
"UKN2069","UKN5404","0.264"
"UKN3250","UKN2126","5.198"
"UKN4944","UKN1176","5.285"
"UKN3137","UKN1812","5.827"
"UKN2126","UKN3276","2.53"
"UKN4945","UKN1889","2.771"
"UKN2885","UKN4944","4.348"
"UKN1889","UKN3310","4.228"
"UKN3097","UKN2069","1.185"
"UKN3386","UKN5368","0.688"
"UKN3386","UKN3097","1.375"
"UKN3276","UKN4945","0.815"
"UKN1812","UKN2885","3.459"
"UKN5152","UKN7010","0.23"
"UKN2283","UKN1894","1.997"
"UKN1894","UKN3326","2.006"
"UKN8508","UKN2283","3.881"
"UKN7884","UKN8122","5.763"
"UKN7416","UKN5162","1.07"
"UKN8136","UKN5360","1.699"
"UKN2048","UKN3136","3.19"
"UKN5162","UKN1440","0.399"
"UKN2686","UKN1468","3.949"
"UKN3298","UKN2686","5.216"
"UKN1468","UKN8497","1.797"
"UKN1928","UKN2844","4.788"
"UKN1928","UKN5415","0.74"
"UKN2114","UKN1243","12.873"
"UKN2115","UKN3374","1.637"
"UKN5385","UKN5384","0.944"
"UKN1189","UKN8603","1.962"
"UKN2740","UKN2247","1.024"
"UKN2434","UKN5385","0.829"
"UKN5436","UKN3329","0.405"
"UKN2846","UKN5433","0.15"
"UKN5384","UKN5436","0.623"
"UKN1726","UKN2846","1.417"
"UKN3422","UKN1501","2.419"
"UKN3213","UKN4484","6.305"
"UKN8038","UKN1342","0.528"
"UKN2247","UKN1189","1.16"
"UKN3178","UKN1840","4.844"
"UKN8580","UKN3019","0.919"
"UKN1353","UKN1233","1.722"
"UKN2844","UKN2635","4.302"
"UKN1844","UKN3422","11.167"
"UKN1844","UKN5440","0.369"
"UKN3189","UKN2740","2.325"
"UKN1342","UKN2115","1.368"
"UKN2635","UKN8546","3.736"
"UKN1840","UKN8605","3.413"
"UKN3100","UKN3178","4.484"
"UKN3007","UKN1353","1.461"
"UKN2889","UKN1482","0.902"
"UKN3329","UKN8392","0.486"
"UKN1233","UKN8616","0.979"
"UKN1345","UKN1726","1.971"
"UKN2442","UKN2527","4.35"
"UKN8605","UKN2442","1.08"
"UKN3036","UKN8617","9.795"
"UKN8603","UKN3007","0.331"
"UKN1243","UKN3397","2.789"
"UKN1482","UKN1928","2.579"
"UKN2496","UKN1345","5.163"
"UKN3019","UKN3213","5.103"
"UKN3019","UKN5414","0.138"
"UKN8617","UKN4483","0.9"
"UKN8618","UKN8491","0.745"
"UKN4484","UKN1844","0.405"
"UKN4483","UKN2889","0.297"
"UKN2527","UKN3036","1.429"
"UKN8491","UKN3100","2.074"
"UKN8546","UKN8580","0.479"
"UKN3397","UKN2496","2.321"
"UKN8392","UKN8038","1.168"
"UKN8616","UKN8618","0.674"
"UKN3374","UKN3189","1.156"
"UKN1501","UKN2114","3.497"
"UKN2412","UKN7305","13.342"
"UKN5133","UKN4345","0.376"
"UKN7305","UKN1327","1.765"
"UKN1167","UKN5133","8.601"
"UKN4345","UKN2412","6.617"
"UKN7325","UKN7062","2.146"
"UKN7491","UKN4692","4.236"
"UKN1628","UKN1003","2.499"
"UKN5184","UKN7491","4.84"
"UKN2413","UKN2395","5.969"
"UKN2403","UKN2413","2.816"
"UKN2394","UKN2403","8.954"
"UKN2395","UKN7085","0.444"
"UKN3328","UKN1132","0.915"
"UKN4145","UKN8426","0.327"
"UKN2964","UKN4145","0.657"
"UKN2964","UKN5446","0.568"
"UKN3229","UKN2964","1.182"
"UKN5384","UKN1175","0.211"
"UKN5385","UKN5384","0.916"
"UKN8355","UKN3152","0.463"
"UKN1132","UKN8355","2.427"
"UKN1525","UKN3328","2.259"
"UKN2654","UKN3229","1.978"
"UKN1175","UKN1525","2.272"
"UKN3152","UKN2654","1.599"
"UKN2434","UKN5385","0.84"
"UKN8426","UKN4744","0.52"
"UKN1750","UKN3042","1.563"
"UKN2827","UKN4743","0.291"
"UKN2827","UKN7760","12.787"
"UKN3042","UKN2826","1.765"
"UKN4744","UKN1750","0.311"
"UKN2826","UKN2827","1.425"
"UKN2164","UKN5005","0.922"
"UKN1749","UKN2924","2.969"
"UKN2068","UKN2815","9.046"
"UKN2924","UKN2164","3.646"
"UKN2924","UKN5007","0.29"
"UKN1919","UKN5006","2.409"
"UKN1919","UKN5371","0.472"
"UKN1334","UKN5367","0.179"
"UKN1334","UKN5428","0.94"
"UKN3460","UKN8002","0.398"
"UKN8002","UKN1380","0.939"
"UKN5005","UKN1919","0.427"
"UKN5006","UKN3234","1.986"
"UKN5369","UKN1130","5.975"
"UKN1380","UKN2068","3.317"
"UKN1130","UKN8003","5.175"
"UKN8003","UKN2087","1.208"
"UKN3234","UKN5429","0.129"
"UKN3234","UKN5369","1.238"
"UKN2815","UKN1334","2.164"
"UKN2087","UKN3460","4.67"
"UKN2087","UKN5405","0.066"
"UKN7760","UKN1749","0.73"
"UKN3402","UKN8354","1.066"
"UKN1493","UKN3308","4.137"
"UKN8354","UKN1023","1.6"
"UKN1023","UKN1493","2.286"
"UKN2853","UKN8155","4.36"
"UKN4863","UKN3155","2.884"
"UKN3312","UKN8287","2.178"
"UKN3420","UKN5363","1.437"
"UKN3420","UKN5364","1.119"
"UKN2789","UKN4197","0.406"
"UKN5364","UKN2112","1.82"
"UKN2303","UKN4033","2.837"
"UKN2303","UKN5332","0.138"
"UKN8157","UKN2303","1.499"
"UKN4197","UKN8157","1.368"
"UKN8149","UKN4862","0.821"
"UKN8287","UKN8149","0.887"
"UKN3155","UKN1848","2.756"
"UKN4862","UKN4863","0.603"
"UKN1848","UKN2790","3.092"
"UKN4033","UKN3420","3.963"
"UKN8291","UKN3032","3.752"
"UKN2790","UKN2789","0.995"
"UKN2112","UKN8291","2.121"
"UKN3032","UKN2853","4.455"
